#{"t_start": 1625678476.0443182, "env_id": "RoboSkateNumerical10Obs-v0"}
r,l,t
-13.958596,1000,34.716453
-33.741403,1000,69.404963
-79.311242,1000,103.548914
-57.166154,1000,138.646052
-20.361378,1000,174.146859
-6.54506,1000,208.362623
-36.416214,1000,243.289509
6.588398,1000,278.059181
-2.386349,1000,313.372238
-23.166582,1000,348.746886
26.72506,1000,566.219678
-59.167764,1000,622.562492
-76.788861,1000,677.926995
30.539589,1000,732.411399
126.193524,1000,786.573939
-1.946858,1000,839.73882
-119.595915,1000,895.61873
-35.075839,1000,950.81394
74.854437,1000,1004.70245
-25.975263,1000,1059.909285
12.102098,1000,1272.455615
-23.829531,1000,1326.050806
-3.574177,1000,1381.419909
4.990818,1000,1435.994617
-5.276354,1000,1491.980211
5.446309,1000,1547.645266
0.765254,1000,1600.782665
0.950593,1000,1657.081729
-7.642755,1000,1713.451493
-5.826848,1000,1768.592602
-41.913917,1000,1955.700628
-0.809292,1000,2008.882122
4.339824,1000,2063.027976
1.197664,1000,2117.788942
-3.843333,1000,2171.695882
24.021356,1000,2227.00944
68.634965,1000,2281.926082
1.449703,1000,2337.151156
28.281091,1000,2391.123234
-8.742479,1000,2445.243207
8.234939,1000,2633.556728
16.906822,1000,2687.500077
-0.360209,1000,2742.449723
119.732379,1000,2797.78202
-2.350458,1000,2852.137615
19.258431,1000,2905.982112
52.319195,1000,2961.058842
30.786935,1000,3013.836711
15.923783,1000,3067.590693
-0.20724,1000,3122.901778
9.44419,1000,3315.903215
59.344581,1000,3372.109265
7.256392,1000,3427.043499
72.37385,1000,3482.534022
13.581368,1000,3536.61944
9.982204,1000,3593.648419
4.929113,1000,3648.814132
30.94297,1000,3703.091029
-0.334485,1000,3757.201618
0.570274,1000,3809.820842
-4.361,1000,4022.476317
10.00944,1000,4077.311423
29.786177,1000,4132.903806
2.758718,1000,4187.303624
21.545992,1000,4242.842875
45.183969,1000,4299.153735
82.311681,1000,4352.134935
31.443866,1000,4408.71007
8.834753,1000,4466.710572
60.615672,1000,4520.718116
82.733059,1000,4721.235083
58.565085,1000,4774.238465
18.424891,1000,4830.724895
-2.825786,1000,4888.481719
170.223353,1000,4944.29719
60.634711,1000,5001.166707
65.958276,1000,5057.257446
90.449085,1000,5112.126316
6.161336,1000,5170.158928
3.947675,1000,5225.76115
-4.314388,1000,5416.809571
10.4303,1000,5473.658809
36.383767,1000,5527.36374
