#{"t_start": 1626100784.5870004, "env_id": "RoboSkateSegmentation-v0"}
r,l,t
-56.256192,1000,69.846636
-90.071999,1000,128.331877
-41.075688,1000,216.925204
-23.250508,1000,273.913054
-17.515135,227,287.10673
-1.832624,1000,344.85446
-4.034541,1000,403.398762
-27.532449,1000,462.827704
-90.86873,1000,522.02931
-3.545212,1000,581.141732
-33.463463,713,623.078183
325.858199,1000,1007.222168
204.369564,1000,1085.849113
88.253518,1000,1164.617763
-35.782133,423,1196.998044
36.824147,1000,1274.906364
111.307821,248,1294.960813
34.35527,122,1305.077699
93.488518,1000,1382.151334
47.792227,1000,1460.315035
133.968315,1000,1538.326994
155.795432,291,1560.855521
-32.067207,1000,1640.384525
0.958233,1000,2019.845112
81.016036,1000,2097.479501
13.717163,210,2113.685384
-116.060645,551,2156.904976
86.200989,1000,2234.44229
11.978069,1000,2310.717443
164.778229,244,2330.460199
90.527833,1000,2408.47053
-68.517693,291,2431.109087
81.387467,1000,2510.020233
233.068252,1000,2587.580399
33.8087,114,2597.527809
50.2397,641,2647.336761
99.768875,1000,2725.321039
35.860034,1000,3071.827206
-16.958623,1000,3150.788535
113.527472,1000,3230.08914
50.150057,206,3246.420595
94.105491,1000,3324.337034
152.29766,1000,3401.854592
56.579125,1000,3480.010484
27.667882,1000,3557.235153
79.638859,398,3588.9233
139.47418,1000,3665.987087
6.382952,1000,3744.366422
-35.517707,568,3789.579623
38.326662,72,3795.523776
-117.245216,514,3836.418369
178.789055,1000,4181.166237
62.394434,527,4222.370152
124.476187,952,4298.593778
-95.711025,1000,4376.042348
-43.60216,90,4384.359754
130.659115,1000,4461.274544
-9.077442,299,4485.572285
-78.935472,96,4492.95613
46.394348,190,4508.355782
117.163523,705,4564.455063
123.69581,337,4592.020566
145.372719,780,4653.397047
71.391705,1000,4731.378571
94.304171,1000,4808.389915
60.885899,165,4822.071103
53.575018,1000,4898.910015
91.74602,1000,5131.976732
55.685643,175,5146.298238
67.108039,548,5189.052676
18.553054,433,5223.241047
118.910305,1000,5303.1706
127.051326,1000,5380.802803
135.390335,794,5444.674717
124.426728,1000,5523.533695
67.478837,1000,5601.359059
18.095532,697,5655.494912
77.243545,1000,5733.264169
102.501271,1000,5812.02989
117.082911,1000,6196.787873
18.766667,438,6231.699119
87.139126,1000,6309.541909
40.642081,1000,6388.244554
